모드,쿼리,정답 카테고리,Top5 결과,P@1,P@3,P@5,P@10,R@1,R@3,R@5,R@10,MRR
키워드 임베딩 (Keyword),수염이 길고 유연하며 꼬리가 긴 애완동물,cat,"['bird', 'bird', 'bird', 'bird', 'bird']",0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.100,0.100
키워드 임베딩 (Keyword),a flexible furry animal with long whiskers and sharp eyes,cat,"['cat', 'bird', 'bird', 'bird', 'bird']",1.000,0.333,0.200,0.100,0.100,0.100,0.100,0.100,1.000
키워드 임베딩 (Keyword),머리에 나뭇가지처럼 멋진 뿔이 나 있는 숲 속의 포유류,deer,"['deer', 'deer', 'deer', 'deer', 'deer']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
키워드 임베딩 (Keyword),a woodland creature with elegant antlers on its head,deer,"['deer', 'deer', 'deer', 'deer', 'deer']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
키워드 임베딩 (Keyword),사람을 잘 따르고 털이 북실북실하며 꼬리를 흔드는 반려동물,dog,"['cat', 'cat', 'cat', 'cat', 'cat']",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
키워드 임베딩 (Keyword),a loyal furry pet with an excitedly wagging tail,dog,"['cat', 'cat', 'cat', 'cat', 'cat']",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091
키워드 임베딩 (Keyword),갈기가 휘날리는 빠르고 튼튼한 초식 동물,horse,"['horse', 'bird', 'bird', 'bird', 'bird']",1.000,0.333,0.200,0.100,0.100,0.100,0.100,0.100,1.000
키워드 임베딩 (Keyword),a strong grazing animal with a majestic mane running fast,horse,"['horse', 'horse', 'horse', 'horse', 'horse']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
키워드 임베딩 (Keyword),긴 팔로 나무 사이를 유연하게 옮겨 다니는 영장류,monkey,"['monkey', 'monkey', 'monkey', 'monkey', 'monkey']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
키워드 임베딩 (Keyword),a witty primate with long arms swinging through branches,monkey,"['monkey', 'monkey', 'monkey', 'monkey', 'monkey']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
키워드 임베딩 (Keyword),하얀 물살을 가르며 바다를 항해하는 거대한 구조물,ship,"['ship', 'ship', 'ship', 'ship', 'ship']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
키워드 임베딩 (Keyword),a massive floating vessel cutting through the ocean waves,ship,"['ship', 'ship', 'ship', 'ship', 'ship']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
키워드 임베딩 (Keyword),무거운 화물을 가득 싣고 화물칸이 달린 대형 차량,truck,"['truck', 'truck', 'truck', 'truck', 'truck']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
키워드 임베딩 (Keyword),a heavy-duty commercial vehicle designed to carry large cargo,truck,"['truck', 'truck', 'truck', 'truck', 'truck']",1.000,1.000,1.000,1.000,0.100,0.300,0.500,1.000,1.000
전체 임베딩 (Full) (평균),,,,0.700,0.667,0.690,0.615,0.070,0.200,0.345,0.615,0.827
키워드 임베딩 (Keyword) (평균),,,,0.800,0.750,0.730,0.725,0.080,0.225,0.365,0.725,0.826
